title,Directed by,Produced by,Written by,Starring,Music by,Based on,Cinematography,Screenplay by,Edited by,Production company,Production companies,Distributed by,Story by,Narrated by,Release date,Running time,Country,Language,Budget,Box office
Saving Private Ryan,Steven Spielberg,"['Ian Bryce', 'Mark Gordon', 'Gary Levinsohn', 'Steven Spielberg']",Robert Rodat,"['Tom Hanks', 'Edward Burns', 'Matt Damon', 'Tom Sizemore']",John Williams,,Janusz Kamiński,,Michael Kahn,"['DreamWorks Pictures', 'Paramount Pictures', 'Amblin Entertainment', 'Mutual Film Company']",,"['DreamWorks Pictures (North America)', 'Paramount Pictures (International)']",,,"['July24,1998 ( 1998-07-24 )']",169 minutes,United States,"['English', 'German']",$70 million [1],$482.3 million [1]
You've Got Mail,Nora Ephron,"['Nora Ephron', 'Lauren Shuler Donner']",,"['Tom Hanks', 'Meg Ryan', 'Parker Posey', 'Jean Stapleton', 'Dave Chappelle', 'Steve Zahn', 'Greg Kinnear']",George Fenton,"['Parfumerie', 'by', 'Miklós László']",John Lindley,"['Nora Ephron', 'Delia Ephron']",Richard Marks,Lauren Shuler Donner Productions,,Warner Bros.,,,"['December18,1998 ( 1998-12-18 )']",119 minutes [1],United States,English,$65 million [2],$250.8 million [2]
Toy Story 2,John Lasseter,"['Helene Plotkin', 'Karen Robert Jackson']",,"['Tom Hanks', 'Tim Allen']",Randy Newman,,Sharon Calahan,"['Andrew Stanton', 'Rita Hsiao', 'Doug Chamberlin', 'Chris Webb']","['Edie Bleiman', 'David Ian Salter', 'Lee Unkrich']","['Walt Disney Pictures', 'Pixar Animation Studios']",,Buena Vista Pictures Distribution,"['John Lasseter', 'Pete Docter', 'Ash Brannon', 'Andrew Stanton']",,"['November13,1999 ( 1999-11-13 ) ( El Capitan Theatre ) [1]', 'November24,1999 ( 1999-11-24 ) (United States)']",92 minutes [2],United States,English,$90million [3],$497.4million [3]
The Green Mile,Frank Darabont,"['Frank Darabont', 'David Valdes']",,"['Tom Hanks', 'David Morse', 'Bonnie Hunt', 'Michael Clarke Duncan', 'James Cromwell', 'Michael Jeter', 'Graham Greene', 'Doug Hutchison', 'Sam Rockwell', 'Barry Pepper', 'Jeffrey DeMunn', 'Patricia Clarkson', 'Harry Dean Stanton']",Thomas Newman,"['The Green Mile', 'by', 'Stephen King']",David Tattersall,Frank Darabont,Richard Francis-Bruce,"['Castle Rock Entertainment', 'Darkwoods Productions', 'PolyGram Filmed Entertainment']",,"['Warner Bros.', '(United States)', 'Universal Pictures', '(International)']",,,"['December10,1999 ( 1999-12-10 ) (United States)']",189 minutes,United States,English,$60 million,$286.8 million [1]
Cast Away,Robert Zemeckis,"['Steve Starkey', 'Tom Hanks', 'Robert Zemeckis', 'Jack Rapke']",William Broyles Jr.,"['Tom Hanks', 'Helen Hunt', 'Nick Searcy']",Alan Silvestri,,Don Burgess,,Arthur Schmidt,"['ImageMovers', 'Playtone']",,"['20th Century Fox (North America)', 'DreamWorks Pictures (International)']",,,"['December22,2000 ( 2000-12-22 )']",143 minutes,United States,English,$90 million [1],$429.6 million [1]
My Big Fat Greek Wedding,Joel Zwick,"['Gary Goetzman', 'Tom Hanks', 'Rita Wilson']",Nia Vardalos,"['Nia Vardalos', 'John Corbett', 'Lainie Kazan', 'Michael Constantine', 'Gia Carides', 'Louis Mandylor', 'Andrea Martin', 'Joey Fatone']","['Alexander Janko', 'Chris Wilson']",,Jeffrey Jur,,Mia Goldman,"['Gold Circle Films', 'HBO Films', 'MPH Entertainment', 'Playtone']",,IFC Films,,,"['April19,2002 ( 2002-04-19 ) (United States)', 'August16,2002 ( 2002-08-16 ) (Canada)']",95 minutes [1],"['Canada', 'United States']","['English', 'Greek']",$5 million [2],$368.7 million [2]
Road to Perdition,Sam Mendes,"['Richard D. Zanuck', 'Dean Zanuck', 'Sam Mendes']",,"['Tom Hanks', 'Paul Newman', 'Jude Law', 'Jennifer Jason Leigh', 'Stanley Tucci', 'Daniel Craig']",Thomas Newman,"['Max Allan Collins', 'Richard Piers Rayner']",Conrad L. Hall,David Self,Jill Bilcock,The Zanuck Company,,"['DreamWorks Pictures (United States)', '20th Century Fox (International)']",,,"['July12,2002 ( 2002-07-12 )']",117 minutes,United States,English,$80 million [1],$181 million [1]
Catch Me If You Can,Steven Spielberg,"['Steven Spielberg', 'Walter F. Parkes']",,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye']",John Williams,"['Catch Me If You Can', 'by', 'Frank Abagnale Jr.', 'Stan Redding']",Janusz Kamiński,Jeff Nathanson,Michael Kahn,,"['Amblin Entertainment', 'Parkes/MacDonald Productions', 'Kemp Company', 'Splendid Pictures']",DreamWorks Pictures,,,"['December18,2002 ( 2002-12-18 ) ( Westwood )', 'December25,2002 ( 2002-12-25 ) (United States)']",141 minutes [1],United States,English,$52 million,$352.1 million
The Ladykillers,"['Joel Coen', 'Ethan Coen']","['Ethan Coen', 'Joel Coen', 'Tom Jacobson', 'Barry Sonnenfeld', 'Barry Josephson']",,"['Tom Hanks', 'Irma P. Hall', 'Marlon Wayans', 'J. K. Simmons', 'Tzi Ma', 'Ryan Hurst']",Carter Burwell,"['The Ladykillers', 'by', 'William Rose']",Roger Deakins,"['Joel Coen', 'Ethan Coen']",Roderick Jaynes [a],"['Touchstone Pictures', 'Tom Jacobson Productions']",,Buena Vista Pictures,,,"['March26,2004 ( 2004-03-26 )']",104 minutes [1],United States,English,$35 million,$76.7 million
Connie and Carla,Michael Lembeck,"['Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman', 'Tom Hanks']",Nia Vardalos,"['Nia Vardalos', 'Toni Collette', 'Stephen Spinella', 'Dash Mihok', 'David Duchovny']",Randy Edelman,,Richard Greatrex,,David Finfer,Spyglass Entertainment,,Universal Studios,,,"['April16,2004 ( 2004-04-16 )']",98 minutes [1],United States,English,$27 million [2],$11.3 million [2]
